sound_kit_id,reason,attack_roles_found,creature_sound_data_ids,creature_model_data_ids,creature_display_ids,display_gender_values,file_count_in_sound_kit,file_data_ids,filenames
33777,no_creature_sound_data_attack_mapping,,,,,,4,552534|552537|552539|552540,minfernalattack2b|minfernalattack1a|minfernalattack1b|minfernalattack2a
33778,no_creature_sound_data_attack_mapping,,,,,,5,544961|544966|544967|544972|544973,beholderattackb|beholderattackc|beholderattacka|beholderattacke|beholderattackd
33804,no_creature_model_data_for_creature_sound_data,attack_critical,4305,,,,5,623386|623388|623390|623392|623394,mon_silkworm_attackcrit01|mon_silkworm_attackcrit02|mon_silkworm_attackcrit03|mon_silkworm_attackcrit04|mon_silkworm_attackcrit05
33806,no_creature_model_data_for_creature_sound_data,attack,4305,,,,10,623366|623368|623370|623372|623374|623376|623378|623380|623382|623384,mon_silkworm_attack01|mon_silkworm_attack02|mon_silkworm_attack03|mon_silkworm_attack04|mon_silkworm_attack05|mon_silkworm_attack06|mon_silkworm_attack07|mon_silkworm_attack08|mon_silkworm_attack09|mon_silkworm_attack10
33910,no_creature_sound_data_attack_mapping,,,,,,6,564257|564258|564259|564270|564271|564272,wolvarattacka|wolvarattackd|wolvarattackf|wolvarattackc|wolvarattackb|wolvarattacke
33911,no_creature_model_data_for_creature_sound_data,attack,4307,,,,5,602330|602333|602339|602342|602351,rockflayerattacke|rockflayerattackd|rockflayerattackc|rockflayerattackb|rockflayerattacka
33914,no_creature_sound_data_attack_mapping,,,,,,5,602330|602333|602339|602342|602351,rockflayerattacke|rockflayerattackd|rockflayerattackc|rockflayerattackb|rockflayerattacka
33915,no_creature_sound_data_attack_mapping,,,,,,5,560811|560812|560813|595169|595193,sporelingattacka|sporelingattackc|sporelingattacke|sporelingattackd|sporelingattackb
33917,no_creature_sound_data_attack_mapping,,,,,,6,555439|555444|555449|555454|555463|555475,mistfox_attack_03|mistfox_attack_06|mistfox_attack_05|mistfox_attack_01|mistfox_attack_02|mistfox_attack_04
33920,no_creature_sound_data_attack_mapping,,,,,,3,553323|553324|553331,kodobeastattackb|kodobeastattacka|kodobeastattackc
33921,no_creature_sound_data_attack_mapping,,,,,,9,615764|615766|615768|615770|615772|615774|615776|615778|615780,mon_porcupine_attack01|mon_porcupine_attack02|mon_porcupine_attack03|mon_porcupine_attack04|mon_porcupine_attack05|mon_porcupine_attack06|mon_porcupine_attack07|mon_porcupine_attack08|mon_porcupine_attack09
33925,no_creature_sound_data_attack_mapping,,,,,,3,550249|550250|550255,giraffeattacka|giraffeattackc|giraffeattackb
33929,no_creature_sound_data_attack_mapping,,,,,,5,546451|546453|546454|546458|546459,crawlerattacka|crawlerattackd|crawlerattackb|crawlerattackc|crawlerattacke
33951,no_creature_model_data_for_creature_sound_data,attack_critical,4309|4310,,,,5,623601|623603|623605|623607|623609,mon_ridingdragonturtle_attackcrit01|mon_ridingdragonturtle_attackcrit02|mon_ridingdragonturtle_attackcrit03|mon_ridingdragonturtle_attackcrit04|mon_ridingdragonturtle_attackcrit05
33952,no_creature_model_data_for_creature_sound_data,attack,4309|4310,,,,10,623581|623583|623585|623587|623589|623591|623593|623595|623597|623599,mon_ridingdragonturtle_attack01|mon_ridingdragonturtle_attack02|mon_ridingdragonturtle_attack03|mon_ridingdragonturtle_attack04|mon_ridingdragonturtle_attack05|mon_ridingdragonturtle_attack06|mon_ridingdragonturtle_attack07|mon_ridingdragonturtle_attack08|mon_ridingdragonturtle_attack09|mon_ridingdragonturtle_attack10
33970,no_creature_sound_data_attack_mapping,,,,,,9,564080|564084|564085|564086|564089|564093|564097|564099|564105,mon_waterelemental_small_attack04|mon_waterelemental_small_attack08|mon_waterelemental_small_attack03|mon_waterelemental_small_attack09|mon_waterelemental_small_attack02|mon_waterelemental_small_attack01|mon_waterelemental_small_attack06|mon_waterelemental_small_attack07|mon_waterelemental_small_attack05
33983,no_creature_sound_data_attack_mapping,,,,,,5,560790|560793|560795|560796|560797,sporebatattackd|sporebatattacke|sporebatattackc|sporebatattackb|sporebatattacka
33986,no_creature_sound_data_attack_mapping,,,,,,5,560790|560793|560795|560796|560797,sporebatattackd|sporebatattacke|sporebatattackc|sporebatattackb|sporebatattacka
33988,no_creature_sound_data_attack_mapping,,,,,,10,628288|628290|628292|628294|628296|628298|628300|628302|628304|628306,mon_cricket_attack01|mon_cricket_attack02|mon_cricket_attack03|mon_cricket_attack04|mon_cricket_attack05|mon_cricket_attack06|mon_cricket_attack07|mon_cricket_attack08|mon_cricket_attack09|mon_cricket_attack10
33989,no_creature_sound_data_attack_mapping,,,,,,9,606921|606923|606925|606927|606929|606931|606933|606935|606937,mon_waterstrider_attack_01|mon_waterstrider_attack_02|mon_waterstrider_attack_03|mon_waterstrider_attack_04|mon_waterstrider_attack_05|mon_waterstrider_attack_06|mon_waterstrider_attack_07|mon_waterstrider_attack_08|mon_waterstrider_attack_09
33990,no_creature_sound_data_attack_mapping,,,,,,10,608791|608793|608795|608797|608799|608801|608803|608805|608807|608809,mon_goldfish_attack01|mon_goldfish_attack02|mon_goldfish_attack03|mon_goldfish_attack04|mon_goldfish_attack05|mon_goldfish_attack06|mon_goldfish_attack07|mon_goldfish_attack08|mon_goldfish_attack09|mon_goldfish_attack10
33995,no_creature_sound_data_attack_mapping,,,,,,3,549781|549782|549784,ghostattackb|ghostattacka|ghostattackc
33996,no_creature_sound_data_attack_mapping,,,,,,5,549137|549139|549141|549144|549148,fleshbeastattackd|fleshbeastattackc|fleshbeastattackb|fleshbeastattacka|fleshbeastattacke
34395,no_creature_model_data_for_creature_sound_data,attack,4329,,,,10,669075|669077|669079|669081|669083|669085|669087|669089|669091|669093,vo_blademasterishi_attack_01|vo_blademasterishi_attack_02|vo_blademasterishi_attack_03|vo_blademasterishi_attack_04|vo_blademasterishi_attack_05|vo_blademasterishi_attack_06|vo_blademasterishi_attack_07|vo_blademasterishi_attack_08|vo_blademasterishi_attack_09|vo_blademasterishi_attack_10
34396,no_creature_model_data_for_creature_sound_data,attack_critical,4329,,,,5,669065|669067|669069|669071|669073,vo_blademasterishi_attackcrit_01|vo_blademasterishi_attackcrit_02|vo_blademasterishi_attackcrit_03|vo_blademasterishi_attackcrit_04|vo_blademasterishi_attackcrit_05
34420,no_creature_model_data_for_creature_sound_data,attack,4330,,,,10,669317|669319|669321|669323|669325|669327|669329|669331|669333|669335,vo_korkronassasin_attack_01|vo_korkronassasin_attack_02|vo_korkronassasin_attack_03|vo_korkronassasin_attack_04|vo_korkronassasin_attack_05|vo_korkronassasin_attack_06|vo_korkronassasin_attack_07|vo_korkronassasin_attack_08|vo_korkronassasin_attack_09|vo_korkronassasin_attack_10
34421,no_creature_model_data_for_creature_sound_data,attack_critical,4330,,,,5,669307|669309|669311|669313|669315,vo_korkronassasin_attackcrit_01|vo_korkronassasin_attackcrit_02|vo_korkronassasin_attackcrit_03|vo_korkronassasin_attackcrit_04|vo_korkronassasin_attackcrit_05
34464,no_creature_model_data_for_creature_sound_data,attack,4338,,,,10,772910|772912|772914|772916|772918|772920|772922|772924|772926|772928,vo_5.1_skyglaive_attack_01|vo_5.1_skyglaive_attack_010|vo_5.1_skyglaive_attack_02|vo_5.1_skyglaive_attack_03|vo_5.1_skyglaive_attack_04|vo_5.1_skyglaive_attack_05|vo_5.1_skyglaive_attack_06|vo_5.1_skyglaive_attack_07|vo_5.1_skyglaive_attack_08|vo_5.1_skyglaive_attack_09
34465,no_creature_model_data_for_creature_sound_data,attack_critical,4338,,,,5,772900|772902|772904|772906|772908,vo_5.1_skyglaive_attackcrit_01|vo_5.1_skyglaive_attackcrit_02|vo_5.1_skyglaive_attackcrit_03|vo_5.1_skyglaive_attackcrit_04|vo_5.1_skyglaive_attackcrit_05
34478,no_creature_model_data_for_creature_sound_data,attack,4339,,,,8,772808|772810|772812|772814|772816|772818|772820|772822,vo_5.1_alp_scargash_attack_01|vo_5.1_alp_scargash_attack_02|vo_5.1_alp_scargash_attack_03|vo_5.1_alp_scargash_attack_04|vo_5.1_alp_scargash_attack_05|vo_5.1_alp_scargash_attack_06|vo_5.1_alp_scargash_attack_07|vo_5.1_alp_scargash_attack_08
34479,no_creature_model_data_for_creature_sound_data,attack_critical,4339,,,,5,772798|772800|772802|772804|772806,vo_5.1_alp_scargash_attackcrit_01|vo_5.1_alp_scargash_attackcrit_02|vo_5.1_alp_scargash_attackcrit_03|vo_5.1_alp_scargash_attackcrit_04|vo_5.1_alp_scargash_attackcrit_05
34763,no_creature_sound_data_attack_mapping,,,,,,1,549584,cr_garrosh_attackheavy02
34768,no_creature_sound_data_attack_mapping,,,,,,1,775389,fx_scene_alittlepatience_attackalert
34797,no_creature_model_data_for_creature_sound_data,attack,4352,,,,10,606625|606627|606629|606631|606633|606635|606637|606639|606641|606643,mon_saurok_attack_01|mon_saurok_attack_02|mon_saurok_attack_03|mon_saurok_attack_04|mon_saurok_attack_05|mon_saurok_attack_06|mon_saurok_attack_07|mon_saurok_attack_08|mon_saurok_attack_09|mon_saurok_attack_10
34798,no_creature_model_data_for_creature_sound_data,attack_critical,4352,,,,5,606615|606617|606619|606621|606623,mon_saurok_attackcrit_01|mon_saurok_attackcrit_02|mon_saurok_attackcrit_03|mon_saurok_attackcrit_04|mon_saurok_attackcrit_05
34816,no_creature_sound_data_attack_mapping,,,,,,5,617988|617990|617992|617994|617996,mon_earthspirit_attackcrit01|mon_earthspirit_attackcrit02|mon_earthspirit_attackcrit03|mon_earthspirit_attackcrit04|mon_earthspirit_attackcrit05
34817,no_creature_sound_data_attack_mapping,,,,,,10,617968|617970|617972|617974|617976|617978|617980|617982|617984|617986,mon_earthspirit_attack01|mon_earthspirit_attack02|mon_earthspirit_attack03|mon_earthspirit_attack04|mon_earthspirit_attack05|mon_earthspirit_attack06|mon_earthspirit_attack07|mon_earthspirit_attack08|mon_earthspirit_attack09|mon_earthspirit_attack10
34829,no_creature_sound_data_attack_mapping,,,,,,5,618060|618062|618064|618066|618068,mon_firespirit_attackcrit01|mon_firespirit_attackcrit02|mon_firespirit_attackcrit03|mon_firespirit_attackcrit04|mon_firespirit_attackcrit05
34830,no_creature_model_data_for_creature_sound_data,attack,4354,,,,10,626237|626239|626241|626243|626245|626247|626249|626251|626253|626255,mon_airspirit_attack01|mon_airspirit_attack02|mon_airspirit_attack03|mon_airspirit_attack04|mon_airspirit_attack05|mon_airspirit_attack06|mon_airspirit_attack07|mon_airspirit_attack08|mon_airspirit_attack09|mon_airspirit_attack10
34831,no_creature_model_data_for_creature_sound_data,attack_critical,4354,,,,5,626257|626259|626261|626263|626265,mon_airspirit_attackcrit01|mon_airspirit_attackcrit02|mon_airspirit_attackcrit03|mon_airspirit_attackcrit04|mon_airspirit_attackcrit05
34836,no_creature_sound_data_attack_mapping,,,,,,5,626257|626259|626261|626263|626265,mon_airspirit_attackcrit01|mon_airspirit_attackcrit02|mon_airspirit_attackcrit03|mon_airspirit_attackcrit04|mon_airspirit_attackcrit05
34837,no_creature_model_data_for_creature_sound_data,attack,4355,,,,10,623366|623368|623370|623372|623374|623376|623378|623380|623382|623384,mon_silkworm_attack01|mon_silkworm_attack02|mon_silkworm_attack03|mon_silkworm_attack04|mon_silkworm_attack05|mon_silkworm_attack06|mon_silkworm_attack07|mon_silkworm_attack08|mon_silkworm_attack09|mon_silkworm_attack10
34838,no_creature_model_data_for_creature_sound_data,attack_critical,4355,,,,5,623386|623388|623390|623392|623394,mon_silkworm_attackcrit01|mon_silkworm_attackcrit02|mon_silkworm_attackcrit03|mon_silkworm_attackcrit04|mon_silkworm_attackcrit05
34843,no_creature_sound_data_attack_mapping,,,,,,3,544011|544014|544016,anusibathattackc|anusibathattackb|anusibathattacka
34847,no_creature_sound_data_attack_mapping,,,,,,4,547702|547704|547705|547710,drakeadonattacka|drakeadonattackd|drakeadonattackc|drakeadonattackb
34848,no_creature_sound_data_attack_mapping,,,,,,3,547507|547511|547513,dragonfootsoldierattacka|dragonfootsoldierattackc|dragonfootsoldierattackb
34849,no_creature_model_data_for_creature_sound_data,attack,4356,,,,3,547507|547511|547513,dragonfootsoldierattacka|dragonfootsoldierattackc|dragonfootsoldierattackb
34852,no_creature_model_data_for_creature_sound_data,attack,3392,,,,5,549385|549386|549388|549390|549394,fungalgiantattacka|fungalgiantattackb|fungalgiantattacke|fungalgiantattackc|fungalgiantattackd
34855,no_creature_sound_data_attack_mapping,,,,,,5,549385|549386|549388|549390|549394,fungalgiantattacka|fungalgiantattackb|fungalgiantattacke|fungalgiantattackc|fungalgiantattackd
34856,no_creature_model_data_for_creature_sound_data,attack,4357,,,,3,556107|556109|556118,nagaattackb|nagaattacka|nagaattackc
34860,no_creature_sound_data_attack_mapping,,,,,,3,556107|556109|556118,nagaattackb|nagaattacka|nagaattackc
34861,no_creature_model_data_for_creature_sound_data,attack,3354,,,,3,558741|558743|558749,qurajiprophetattackc|qurajiprophetattackb|qurajiprophetattacka
34864,no_creature_sound_data_attack_mapping,,,,,,3,558731|558738|558739,quirajprophetattackc|quirajprophetattackb|quirajprophetattacka
34868,no_creature_sound_data_attack_mapping,,,,,,4,563071|563073|563075|563076,undeadbeastattackc|undeadbeastattacka|undeadbeastattackb|undeadbeastattackd
34869,no_creature_model_data_for_creature_sound_data,attack,4358,,,,3,547616|547619|547624,mdragonspawnattack2|mdragonspawnattack1|mdragonspawnattack3
34899,no_creature_model_data_for_creature_sound_data,attack,4360,,,,3,564107|564109|564111,wendigoattacka|wendigoattackb|wendigoattackc
34902,no_creature_sound_data_attack_mapping,,,,,,3,564107|564109|564111,wendigoattacka|wendigoattackb|wendigoattackc
34906,no_creature_sound_data_attack_mapping,,,,,,3,551590|551594|551596,mharpyattacka|mharpyattackb|mharpyattackc
34982,no_creature_sound_data_attack_mapping,,,,,,10,545686|545688|545708|545709|545719|545723|545727|545731|545734|545737,bushchicken_attack_04|bushchicken_attack_06|bushchicken_attack_07|bushchicken_attack_08|bushchicken_attack_01|bushchicken_attack_03|bushchicken_attack_09|bushchicken_attack_10|bushchicken_attack_05|bushchicken_attack_02
34983,no_creature_model_data_for_creature_sound_data,attack,4369,,,,10,545686|545688|545708|545709|545719|545723|545727|545731|545734|545737,bushchicken_attack_04|bushchicken_attack_06|bushchicken_attack_07|bushchicken_attack_08|bushchicken_attack_01|bushchicken_attack_03|bushchicken_attack_09|bushchicken_attack_10|bushchicken_attack_05|bushchicken_attack_02
34984,no_creature_model_data_for_creature_sound_data,attack_critical,4369,,,,4,545683|545684|545697|545730,bushchicken_attackcrit_01|bushchicken_attackcrit_03|bushchicken_attackcrit_04|bushchicken_attackcrit_02
35068,no_creature_model_data_for_creature_sound_data,attack,4373,,,,10,545686|545688|545708|545709|545719|545723|545727|545731|545734|545737,bushchicken_attack_04|bushchicken_attack_06|bushchicken_attack_07|bushchicken_attack_08|bushchicken_attack_01|bushchicken_attack_03|bushchicken_attack_09|bushchicken_attack_10|bushchicken_attack_05|bushchicken_attack_02
35069,no_creature_model_data_for_creature_sound_data,attack_critical,4373,,,,4,545683|545684|545697|545730,bushchicken_attackcrit_01|bushchicken_attackcrit_03|bushchicken_attackcrit_04|bushchicken_attackcrit_02
35078,no_creature_sound_data_attack_mapping,,,,,,1,794815,pet_mechanicalcat_attack01
35083,no_creature_sound_data_attack_mapping,,,,,,7,547702|547704|547705|547710|562289|562293|562294,drakeadonattacka|drakeadonattackd|drakeadonattackc|drakeadonattackb|threshadonattacka|threshadonattackc|threshadonattackb
35131,no_creature_model_data_for_creature_sound_data,attack,4410|4565,,,,10,803519|803521|803523|803525|803527|803529|803531|803533|803535|803537,mon_battlesaur_attack_01|mon_battlesaur_attack_02|mon_battlesaur_attack_03|mon_battlesaur_attack_04|mon_battlesaur_attack_05|mon_battlesaur_attack_06|mon_battlesaur_attack_07|mon_battlesaur_attack_08|mon_battlesaur_attack_09|mon_battlesaur_attack_10
35139,no_creature_model_data_for_creature_sound_data,attack,4378,,,,10,610279|610281|610283|610285|610287|610289|610291|610293|610295|610297,mon_fogcreature_attack_01|mon_fogcreature_attack_02|mon_fogcreature_attack_03|mon_fogcreature_attack_04|mon_fogcreature_attack_05|mon_fogcreature_attack_06|mon_fogcreature_attack_07|mon_fogcreature_attack_08|mon_fogcreature_attack_09|mon_fogcreature_attack_10
35140,no_creature_model_data_for_creature_sound_data,attack_critical,4378,,,,5,610269|610271|610273|610275|610277,mon_fogcreature_attackcrit_01|mon_fogcreature_attackcrit_02|mon_fogcreature_attackcrit_03|mon_fogcreature_attackcrit_04|mon_fogcreature_attackcrit_05
35163,no_creature_sound_data_attack_mapping,,,,,,3,796988|796990|796992,mon_sandelemental_attack01|mon_sandelemental_attack02|mon_sandelemental_attack03
35169,no_creature_model_data_for_creature_sound_data,attack,4381,,,,10,796988|796990|796992|796994|796996|796998|797000|797002|797004|797006,mon_sandelemental_attack01|mon_sandelemental_attack02|mon_sandelemental_attack03|mon_sandelemental_attack04|mon_sandelemental_attack05|mon_sandelemental_attack06|mon_sandelemental_attack07|mon_sandelemental_attack08|mon_sandelemental_attack09|mon_sandelemental_attack10
35170,no_creature_model_data_for_creature_sound_data,attack_critical,4381,,,,5,797008|797010|797012|797014|797016,mon_sandelemental_attackcrit01|mon_sandelemental_attackcrit02|mon_sandelemental_attackcrit03|mon_sandelemental_attackcrit04|mon_sandelemental_attackcrit05
35175,no_creature_sound_data_attack_mapping,,,,,,3,796988|796990|796992,mon_sandelemental_attack01|mon_sandelemental_attack02|mon_sandelemental_attack03
35215,no_creature_sound_data_attack_mapping,,,,,,1,568955,focused_attacks_impact
35219,no_creature_sound_data_attack_mapping,,,,,,4,567921|567922|567926|567927,unarmedattackmediumc|unarmedattackmediumb|unarmedattackmediumcrit|unarmedattackmediuma
35326,no_creature_model_data_for_creature_sound_data,attack,4387,,,,10,798377|798379|798381|798383|798385|798387|798389|798391|798393|798395,vo_52_capt_halukal_attack_01|vo_52_capt_halukal_attack_010|vo_52_capt_halukal_attack_02|vo_52_capt_halukal_attack_03|vo_52_capt_halukal_attack_04|vo_52_capt_halukal_attack_05|vo_52_capt_halukal_attack_06|vo_52_capt_halukal_attack_07|vo_52_capt_halukal_attack_08|vo_52_capt_halukal_attack_09
35327,no_creature_model_data_for_creature_sound_data,attack_critical,4387,,,,5,798367|798369|798371|798373|798375,vo_52_capt_halukal_attackcrit_01|vo_52_capt_halukal_attackcrit_02|vo_52_capt_halukal_attackcrit_03|vo_52_capt_halukal_attackcrit_04|vo_52_capt_halukal_attackcrit_05
35331,no_creature_model_data_for_creature_sound_data,attack,4388,,,,10,798177|798179|798181|798183|798185|798187|798189|798191|798193|798195,vo_52_durumu_attack_01|vo_52_durumu_attack_010|vo_52_durumu_attack_02|vo_52_durumu_attack_03|vo_52_durumu_attack_04|vo_52_durumu_attack_05|vo_52_durumu_attack_06|vo_52_durumu_attack_07|vo_52_durumu_attack_08|vo_52_durumu_attack_09
35332,no_creature_model_data_for_creature_sound_data,attack_critical,4388|5515,,,,5,798167|798169|798171|798173|798175,vo_52_durumu_attackcrit_01|vo_52_durumu_attackcrit_02|vo_52_durumu_attackcrit_03|vo_52_durumu_attackcrit_04|vo_52_durumu_attackcrit_05
35424,no_creature_model_data_for_creature_sound_data,attack,4390,,,,9,800235|800237|800239|800241|800243|800245|800247|800249|800251,vo_52_tulacheck_attack_01|vo_52_tulacheck_attack_02|vo_52_tulacheck_attack_03|vo_52_tulacheck_attack_04|vo_52_tulacheck_attack_05|vo_52_tulacheck_attack_06|vo_52_tulacheck_attack_07|vo_52_tulacheck_attack_08|vo_52_tulacheck_attack_09
35425,no_creature_model_data_for_creature_sound_data,attack_critical,4390,,,,5,800225|800227|800229|800231|800233,vo_52_tulacheck_attackcrit_01|vo_52_tulacheck_attackcrit_02|vo_52_tulacheck_attackcrit_03|vo_52_tulacheck_attackcrit_04|vo_52_tulacheck_attackcrit_05
35442,no_creature_model_data_for_creature_sound_data,attack,4391,,,,8,799240|799244|799246|799248|799250|799252|799254|799256,vo_52_marli_attack_01|vo_52_marli_attack_02|vo_52_marli_attack_03|vo_52_marli_attack_04|vo_52_marli_attack_05|vo_52_marli_attack_06|vo_52_marli_attack_07|vo_52_marli_attack_08
35443,no_creature_model_data_for_creature_sound_data,attack_critical,4391,,,,5,799230|799232|799234|799236|799238,vo_52_marli_attackcrit_01|vo_52_marli_attackcrit_02|vo_52_marli_attackcrit_03|vo_52_marli_attackcrit_04|vo_52_marli_attackcrit_05
35457,no_creature_model_data_for_creature_sound_data,attack,4392,,,,9,798576|798578|798580|798582|798584|798586|798588|798590|798592,vo_52_huseng_attack_01|vo_52_huseng_attack_02|vo_52_huseng_attack_03|vo_52_huseng_attack_04|vo_52_huseng_attack_05|vo_52_huseng_attack_06|vo_52_huseng_attack_07|vo_52_huseng_attack_08|vo_52_huseng_attack_09
35458,no_creature_model_data_for_creature_sound_data,attack_critical,4392,,,,5,798566|798568|798570|798572|798574,vo_52_huseng_attackcrit_01|vo_52_huseng_attackcrit_02|vo_52_huseng_attackcrit_03|vo_52_huseng_attackcrit_04|vo_52_huseng_attackcrit_05
35474,no_creature_sound_data_attack_mapping,,,,,,1,798740,vo_52_tkr_qon_manchu_attacks
35479,no_creature_sound_data_attack_mapping,,,,,,1,798750,vo_52_tkr_qon_weisheng_attacks
35480,no_creature_model_data_for_creature_sound_data,attack,4393,,,,10,798666|798668|798670|798672|798674|798676|798678|798680|798682|798684,vo_52_ironqon_attack_01|vo_52_ironqon_attack_010|vo_52_ironqon_attack_02|vo_52_ironqon_attack_03|vo_52_ironqon_attack_04|vo_52_ironqon_attack_05|vo_52_ironqon_attack_06|vo_52_ironqon_attack_07|vo_52_ironqon_attack_08|vo_52_ironqon_attack_09
35481,no_creature_model_data_for_creature_sound_data,attack_critical,4393,,,,5,798656|798658|798660|798662|798664,vo_52_ironqon_attackcrit_01|vo_52_ironqon_attackcrit_02|vo_52_ironqon_attackcrit_03|vo_52_ironqon_attackcrit_04|vo_52_ironqon_attackcrit_05
35712,no_creature_model_data_for_creature_sound_data,attack,4397,,,,10,799168|799170|799172|799174|799176|799178|799180|799182|799184|799186,vo_52_manchu_attack_01|vo_52_manchu_attack_010|vo_52_manchu_attack_02|vo_52_manchu_attack_03|vo_52_manchu_attack_04|vo_52_manchu_attack_05|vo_52_manchu_attack_06|vo_52_manchu_attack_07|vo_52_manchu_attack_08|vo_52_manchu_attack_09
35713,no_creature_model_data_for_creature_sound_data,attack_critical,4397,,,,5,799158|799160|799162|799164|799166,vo_52_manchu_attackcrit_01|vo_52_manchu_attackcrit_02|vo_52_manchu_attackcrit_03|vo_52_manchu_attackcrit_04|vo_52_manchu_attackcrit_05
35718,no_creature_model_data_for_creature_sound_data,attack,4398,,,,9,799318|799320|799322|799324|799326|799328|799330|799332|799334,vo_52_channeler_attack_01|vo_52_channeler_attack_02|vo_52_channeler_attack_03|vo_52_channeler_attack_04|vo_52_channeler_attack_05|vo_52_channeler_attack_06|vo_52_channeler_attack_07|vo_52_channeler_attack_08|vo_52_channeler_attack_09
35719,no_creature_model_data_for_creature_sound_data,attack_critical,4398,,,,5,799308|799310|799312|799314|799316,vo_52_channeler_attackcrit_01|vo_52_channeler_attackcrit_02|vo_52_channeler_attackcrit_03|vo_52_channeler_attackcrit_04|vo_52_channeler_attackcrit_05
35726,no_creature_model_data_for_creature_sound_data,attack,4399,,,,10,799380|799382|799384|799386|799388|799390|799392|799394|799396|799398,vo_52_nalak_attack_01|vo_52_nalak_attack_010|vo_52_nalak_attack_02|vo_52_nalak_attack_03|vo_52_nalak_attack_04|vo_52_nalak_attack_05|vo_52_nalak_attack_06|vo_52_nalak_attack_07|vo_52_nalak_attack_08|vo_52_nalak_attack_09
35727,no_creature_model_data_for_creature_sound_data,attack_critical,4399,,,,5,799370|799372|799374|799376|799378,vo_52_nalak_attackcrit_01|vo_52_nalak_attackcrit_02|vo_52_nalak_attackcrit_03|vo_52_nalak_attackcrit_04|vo_52_nalak_attackcrit_05
35738,no_creature_model_data_for_creature_sound_data,attack,4400,,,,9,799456|799458|799460|799462|799464|799466|799468|799470|799472,vo_52_primordius_attack_01|vo_52_primordius_attack_02|vo_52_primordius_attack_03|vo_52_primordius_attack_04|vo_52_primordius_attack_05|vo_52_primordius_attack_06|vo_52_primordius_attack_07|vo_52_primordius_attack_08|vo_52_primordius_attack_09
35739,no_creature_model_data_for_creature_sound_data,attack_critical,4400,,,,5,799446|799448|799450|799452|799454,vo_52_primordius_attackcrit_01|vo_52_primordius_attackcrit_02|vo_52_primordius_attackcrit_03|vo_52_primordius_attackcrit_04|vo_52_primordius_attackcrit_05
35783,no_creature_model_data_for_creature_sound_data,attack,4402,,,,10,799614|799616|799618|799620|799622|799624|799626|799628|799630|799632,vo_52_shaixu_attack_01|vo_52_shaixu_attack_010|vo_52_shaixu_attack_02|vo_52_shaixu_attack_03|vo_52_shaixu_attack_04|vo_52_shaixu_attack_05|vo_52_shaixu_attack_06|vo_52_shaixu_attack_07|vo_52_shaixu_attack_08|vo_52_shaixu_attack_09
35784,no_creature_model_data_for_creature_sound_data,attack_critical,4402,,,,5,799604|799606|799608|799610|799612,vo_52_shaixu_attackcrit_01|vo_52_shaixu_attackcrit_02|vo_52_shaixu_attackcrit_03|vo_52_shaixu_attackcrit_04|vo_52_shaixu_attackcrit_05
36003,no_creature_model_data_for_creature_sound_data,attack,4405,,,,9,800935|800937|800939|800941|800943|800945|800947|800949|800951,vo_52_wargodjalak_attack_01|vo_52_wargodjalak_attack_02|vo_52_wargodjalak_attack_03|vo_52_wargodjalak_attack_04|vo_52_wargodjalak_attack_05|vo_52_wargodjalak_attack_06|vo_52_wargodjalak_attack_07|vo_52_wargodjalak_attack_08|vo_52_wargodjalak_attack_09
36004,no_creature_model_data_for_creature_sound_data,attack_critical,4405,,,,5,800925|800927|800929|800931|800933,vo_52_wargodjalak_attackcrit_01|vo_52_wargodjalak_attackcrit_02|vo_52_wargodjalak_attackcrit_03|vo_52_wargodjalak_attackcrit_04|vo_52_wargodjalak_attackcrit_05
36104,no_creature_model_data_for_creature_sound_data,attack,4406,,,,9,614815|614817|614819|614821|614823|614825|614827|614829|614831,mon_quilenstone_attack_01|mon_quilenstone_attack_02|mon_quilenstone_attack_03|mon_quilenstone_attack_04|mon_quilenstone_attack_05|mon_quilenstone_attack_06|mon_quilenstone_attack_07|mon_quilenstone_attack_08|mon_quilenstone_attack_09
36105,no_creature_model_data_for_creature_sound_data,attack_critical,4406,,,,5,614805|614807|614809|614811|614813,mon_quilenstone_attackcrit_01|mon_quilenstone_attackcrit_02|mon_quilenstone_attackcrit_03|mon_quilenstone_attackcrit_04|mon_quilenstone_attackcrit_05
36121,no_creature_sound_data_attack_mapping,,,,,,1,567347,event_deathwingattacks_roar_02
36137,no_creature_sound_data_attack_mapping,,,,,,6,796988|796990|796996|797002|797006|797016,mon_sandelemental_attack01|mon_sandelemental_attack02|mon_sandelemental_attack05|mon_sandelemental_attack08|mon_sandelemental_attack10|mon_sandelemental_attackcrit05
36165,no_creature_model_data_for_creature_sound_data,attack_critical,4410|4565,,,,6,803507|803509|803511|803513|803515|803517,mon_battlesaur_attackcrit_01|mon_battlesaur_attackcrit_02|mon_battlesaur_attackcrit_03|mon_battlesaur_attackcrit_04|mon_battlesaur_attackcrit_05|mon_battlesaur_attackcrit_06
36197,no_creature_model_data_for_creature_sound_data,attack,4413,,,,10,623581|623583|623585|623587|623589|623591|623593|623595|623597|623599,mon_ridingdragonturtle_attack01|mon_ridingdragonturtle_attack02|mon_ridingdragonturtle_attack03|mon_ridingdragonturtle_attack04|mon_ridingdragonturtle_attack05|mon_ridingdragonturtle_attack06|mon_ridingdragonturtle_attack07|mon_ridingdragonturtle_attack08|mon_ridingdragonturtle_attack09|mon_ridingdragonturtle_attack10
